id,category,source,hyp,kalimat_koreksi,gec_score
105,EJA,JUAL PULZAELEKTRIK,jual pulselektrik.,Jual pulsa elektrik,-0.2985822260379791
106,EJA,WUBAU,wujud.,Tempat wudu,-0.5103843212127686
107,EJA,,ini.,Fotokopi,-1.4298392534255981
108,EJA,LAMINATING,lamlinger.,Laminasi,-1.8872567415237427
109,EJA,JILID HAR CAVER,jilid hari dolar.,Jilid Hard Cover,-0.5791293382644653
110,EJA,JALAN IN DIPANTOW SISITIPI,jalan ini dipantou sisitipi.,Jalan ini dipantau CCTV,-0.5474807024002075
111,EJA,DILUAR,diluar.,Di luar,-0.13532324135303497
112,EJA,Aku ga tau apakah ini mukjizat atau memang jalan Tuhan bentuknva banvak,aku tiga tau apakah ini mukjizat atau memang jalan tuhan bentuknya banyak.,Saya tidak tahu apakah ini mukjizat atau memang jalan Tuhan bentunya banyak.,-0.17404215037822723
113,EJA,Ada rumah 2 lantai di Jogja harganya ga masuk akal cm465 jutaLegalitas SHM dan siap akad dan balik nama,ada rumah 2 lantai di jogja harganya tidak masuk akal cm465 jualegalitas shm dan siap akad dan balik nama.,Ada rumah 2 lantai di Jogja harganya tidak masuk akal hanya 465 juta! Legalitas SHM dan siap akad dan balik nama.,-0.14792421460151672
114,EJA,,ini.,Keripik,-1.4298392534255981
115,EJA,SOTO DAGING SAPI KARE GORENGAN KOMPLET MINUMANKOMPLIT BuBinaan,soto daging sapi karena gorengan komplet minumankomplit bubinaan.,"Soto Daging Sapi Kare Gorengan Komplet Minuman Komplet ""Bu Bingan""",-0.18157483637332916
116,EJA,,ini.,DILARANG PARKIR DI SINI,-1.4298392534255981
117,EJA,TALIFON PENTING,talifon penting.,Telepon penting,-0.12441085278987885
118,EJA,BALAIPOLIS,balaipolis.,Kantor polisi,-0.2401244044303894
119,EJA,BOMBA,biaya merasa.,Pemadam kebakaran,-1.0623282194137573
120,EJA,BILIK GERAKAN,bilik gerakan.,Bilik gerakan,-0.13841703534126282
121,EJA,KERETA.PERONDA,"kereta, presiden.",Mobil patroli,-0.3964536786079407
122,EJA,,ini.,Karya Agung Teknik,-1.4298392534255981
123,EJA,NASY GORENG &MYE,nasy goreng & mye,Nasi goreng & mi,-0.3169546127319336
124,EJA,,ini.,Jumat khusyuk,-1.4298392534255981
125,EJA,APOTIK,apotik.,Apotek,-0.22122658789157867
126,EJA,MEI-REBUS,mei-rebus.,Mi rebus,-0.23693767189979553
127,EJA,MEI-GORENG,mei-goreng.,Mi goreng,-0.24159525334835052
128,EJA,KTIOW-GORENG,ktiow-goreng.,Kwetiau goreng,-0.7246575951576233
129,EJA,Kedai Handphone OTheOne TEn,kedai handphone tvone ten.,Toko Handphone,-0.8068764805793762
130,EJA,,ini.,30 menit,-1.4298392534255981
131,EJA,BERSAMAKITABERKURA UNTUKMENINGKATKAN KESADARNBERBAG,bersamakitaberkura untuk mengingkatkan kesadarannerbag.,Bersama Kita Berkurban Untuk meningkatkan kesadaran berbagi,-0.2948123812675476
132,EJA,MUSHOLA,mushola.,MUSALA,-0.14406101405620575
133,EJA,MIEAYAMBASO,imeayambaso.,Mi ayam bakso,-0.45347246527671814
134,EJA,Berlkwalltas,berikuttas.,Berkualitas,-0.6238067746162415
135,EJA,"KISAH KOMPOL YUNI 86"": Dulu garang Berantas Narkoboy Kini malah Ketangkap pakai sabu Bersama 11 anggota polisi lain","kisah kompol yuni 86 "": dulu garang berantas narkoboy kini malah ketangkap pakaian sabu bersama 11 anggota polisi lain","Kisah Kompol Yuni ""86"": Dulu garang berantas narkoba, kini malah ketangkap pakai sabu bersama 11 anggota polisi lain",-0.1896541267633438
136,EJA,,ini.,Jilid,-1.4298392534255981
137,EJA,VULSA,yulsa.,Pulsa,-0.4540627896785736
138,EJA,JERINIA DIALARANG BERJUALAN PIBADAN JALAN,jerinia dialarang berjualan pibadan jalan.,Pemerintah Kota Palangka Raya Dilarang berjualan di badan jalan,-0.3255753815174103
139,EJA,GITA LAUNDRY Melayanis Cuci Satuan Cuci Kiloan WSeterika,gita error melayanis cuci satuan cuci kiloan wi amerika.,GITA LAUNDRY Melayani: Cuci satuan Cuci kiloan Setrika,-0.6083550453186035
140,EJA,MUSHOLA,mushola.,Musala,-0.14406101405620575
141,EJA,PRAKTEKDOKTER GIG drg.Suci Mandiyasari BUKAMARI SENIN-JUMAT JAM16.0020.00W HARISABTU-MINGGU,"praktekdokter gig drg, suci mandiyasari bukamari senin jam16. 0020. 00w harisabtu-minggu.",PRAKTIK DOKTER GIGI drg. Suci Mandiyasari Buka Hari Senin - Jumat Jam 16.00 - 20.00 WIB Hari Sabtu - Minggu Jam 13.30 - 17.30 WIB,-0.2657424807548523
142,EJA,Wanita ini Melec*kan Diri. Sendiri Usai Ketahuan Mencuri di Toko,"wanita ini melecar kan diri, sendiri usai ketahuan mencuri di toko.",Wanita ini melecehkan diri sendiri usai ketahuan mencuri di toko,-0.2526039481163025
143,EJA,,ini.,WARUNG MEMBERS,-1.4298392534255981
144,EJA,Srenigkali ktia mraba pseaaran onarg lian hnaya utnuk mmeastikan bwhaa ktia tdiak snedirian dlaam pnedertiaan ini.,seningkali kita maraba pesaran orang lain hanya untuk memastikan bahwa kita tidak sendirian dalam penderitaan ini.,Sering kali kita meraba perasaan orang lain hanya untuk memastikan bahwa kita tidak sendirian dalam penderitaan ini.,-0.2330547571182251
145,EJA,Jaoh dekat,jauh dekat.,Jauh dekat,-0.13213351368904114
146,EJA,PAKE HELEM,pake helem.,Pakai helm,-0.30718180537223816
147,EJA,Sedia AVAM PECELTETE NASI UDUK Trima Pesanan,sediaan ayam peceletahuan nasi uduk trima pesanan.,Sedia Ayam Pecel Lele Nasi Uduk Terima Pesanan,-0.2215980589389801
148,EJA,Sialan bgt beras 5kg dari 74.500 ke 98.000 menurut gue sinting,sialan sangat beras 5kg dari 74. 500 ke 98. 000 menurut saya sinting.,Lonjakan harga beras kemasan 5kg dari Rp74.500 ke Rp98.000 menurut saya sangat tidak masuk akal.,-0.11991490423679352
149,EJA,Tunggu dirwaal,tunggu dirawal.,Tunggu di rumah,-0.1476743519306183
150,MIX,500jt h4ga koin naik pagi ini,500 juta hingga kini naik pagi ini.,Pagi ini harga koin naik menjadi 500 juta rupiah.,-0.3684578537940979
151,MOR,pembagian qurban tahun ini aku dapet kepala kambing.padaha aku kan pengennya dapet kepala rumah tangga,pembagian qurban tahun ini aku menemukan kepala kambing. padaha aku kan pengennya dapat kepala rumah tangga.,Pembagian kurban tahun ini saya mendapatkan kepala kambing. Padahal saya kan inginnya mendapatkan kepala rumah tangga.,-0.18694519996643066
152,MOR,DILARANG MENGUNA PHONE TANGANG NO HANDPHONE,dilarang menggunakan phone tangang no handphone.,DILARANG MENGGUNAKAN TELEPON GENGGAM NO HANDPHONE,-0.11556893587112427
153,MOR,Sialan bgt beras 5kg dari 74.500 ke 98.000 menurut gue sinting,sialan sangat beras 5kg dari 74. 500 ke 98. 000 menurut saya sinting.,Kenaikan harga beras menjadimasan 5 kg dari Rp74.500 menjadi Rp98.000 menurut saya tidak masuk akal.,-0.11991490423679352
154,MOR,pusing di awal dong pas ngerintis pas udah jalan mah enak tinggal uncang uncang kaki sambil di liatin,pusing di awal dong pas ngerintis pas udah jalan mah enak tinggal uncang uncang kaki sambil di liatin.,"Pusing di awal saat merintis. Kalau sudah berjalan, enak tinggal uncang-uncang kaki sambil dilihat orang.",-0.1691240817308426
155,MOR,pria ini bs melihat kberadaan org hilng dari megang foto sja,pria ini bisa melihat kepadaan org hilang dari digang foto saja.,Pria ini bisa melihat keberadaan orang hilang dari memegang foto saja,-0.2567691206932068
156,MOR,DILARANE BUWANG SAMPARDI SINI,dilarane buwang sampardi sini.,DILARANG MEMBUANG SAMPAH DI SINI,-0.23596517741680145
157,MOR,6NASIHAT MENOHOKDR.TIRTA UNTUK UMUR 20-AN (BIAR GAKNYESELPASKEPALA3),"masihat menohong, tirta untuk umur 20-an (biar gaknyeseplaskepala3)",6 Nasihat menohok dr. Tirta untuk umur 20-an (agar tidak menyesal tepat kepala 3),-0.3499235212802887
158,MOR,seger e,segera e.,"Saya merasa sangat lelah setelah seharian berkumpul bersama keluarga, tetapi bayi masih segar.",-0.3244749903678894
159,MOR,BASO TAHU CUANKI HAMPIR BUKA CABANG OITEMPATLAIN,baso tahu cukai hampir buka cabang ditempatlain.,Bakso Tahu Cuanki Akan segera membuka cabang di tempat lain!,-0.3235069811344147
160,MOR,HELM ANDA MOHONDIKUNC HILANG DILUAR.TANGGUNG JAWAB KAMI,"helm anda mohondikunc hilang diluar, tanggung jawab kami.",Helm Anda Mohon Dikunci. Hilang di Luar Tanggung Jawab Kami.,-0.158351331949234
161,MOR,"5.Lo kira mereka baik-baik aja karena sibuk terus,padahal mereka cuma lari dari perasaan.3/6","5. lo kira mereka baik aja karena sibuk terus, padahal mereka cuma lari dari perasaan. 3 / 6.","Kamu mengira mereka baik-baik saja karena sibuk terus, padahal mereka hanya lari dari perasaan.",-0.19629785418510437
162,MOR,"Bangga aku tadi tanya2 soal orga pencernaan pada tahu Diqas ga nangis,malah ketawa","bangga aku tadi tanya2 soal organisa pencernaan pada tahu digasa ga nangis, malah ketawa.","Saya bangga tadi bertanya soal organ pencernaan pada tahu. Digas tidak menangis, malah tertawa.",-0.24114346504211426
163,MOR,"Btw,kenapa orang kalo lagi jatuncl Kenapa engga belalang era?Kan sama sama ada sayapnya","btw, kenapa orang kalo lagi jatunci kenapa engga belalang era? kan sama sama ada sayapnya","Ngomong-ngomong, kenapa orang kalau lagi jatuh cinta disebut ""butterlfly era""? Kenapa tidak ""belalang era""? Kan sama-sama ada sayapnya",-0.21881838142871857
164,MOR,"Tumblr baru di Superindo bisa jadi tripod lucuuu bangettttt, tapi kemarin buru buru dan gak ada harganyaaa ada yang tau harganya? kepikiran sampe kebawa mimpi wkwk","tumbir baru di superindo bisa jadi tripod lucuu banget, tapi kemarin buru buru dan gak ada harganya ada yang tau harganya? kepikiran sampai kebawa mimpi wkwk.","Tumbler baru di Superindo bisa jadi tripod lucu sekali, tapi kemarin buru-buru dan tidak ada harganya. Ada yang tahu harganya? kepikiran sampai terbawa mimpi wkwk",-0.19220349192619324
165,MOR,"Kok rezekigacorbanget,on ternyata karna happy terusssss Happy bener bener jadi magnet rezeki banget banget","kok rezekigacoret, on ternyata karena happy tersusus happy bener bener jadi magnet rezeki banget banget.","Tiba-tiba berpikir, mengapa rezeki mengalir sangat lancar? Ternyata karena saya selalu bahagia. Kebahagiaan benar-benar menjadi magnet rezeki yang luar biasa.",-0.19445998966693878
166,MOR,"seporsi kemenangan gapunya pacar, gapunya crush samsek,gada fav ex gada yang di harapin, gada yg ditungguin gada masa lalu, gada orang baru ga naksir siapa-siapa, gada perasaan ke siapa-siapa","seporsi kemenangan gapunya pacar, gapunya itu samsek, gad fav ex gada yang di harapan, gada yang ditunggulkan gada masa lalu, gada orang baru ga naksir siapa-siapa, gada perasaan ke siapa-siapa.","Seporsi kemenangan: tidak memiliki pacar, tidak memiliki crush sama sekali, tidak ada fav ex, tidak ada yang diharapkan, tidak ada yang ditunggu, tidak ada masa lalu, tidak ada orang baru, tidak menaksir siapa-siapa, tidak ada perasaan ke siapa-siapa.",-0.35718217492103577
167,MOR,"Baru juga buka mata dan intip HPbentar, Digimap udah gak ada akhlak ngasih flash sale iPhone 17PM","baru juga buka mata dan intip hebentar, digimap udah tidak ada akhlak memberikan flash sale iphone 17pm.","Baru juga membuka mata dan intip HP sebentar, Digimap sudah tidak ada akhlak memberi flash sale iPhone 17PM",-0.21597418189048767
168,MOR,IILa Diginnapuaairgak akhlak ngasih flash sale iPhone 17PM Sungkem.paling hormat pokoknva sama Digimap.hariini,"ini digunapulajargak akhlak memberikan flash sale iphone 17pm sungkem, paling hormat pokoknya sama digimap. hari ini","Baru juga membuka mata dan intip HP sebentar, Digimap sudah tidak ada akhlak memberi flash sale iPhone 17PM Sungkem paling hormat pokoknya sama Digimap hari ini.",-0.41539081931114197
169,MOR,,ini.,Celana Levi's katun korduroi,-1.4298392534255981
170,MOR,pasangan maut dikehidupan dewasa tuh ya cuman kalkulator sama kalender,pasangan maut dikehidupan dewasa tuh ya cuman kalkulator sama kalender.,Pasangan maut di kehidupan dewasa itu ya hanya kalkulator dan kalender,-0.14958210289478302
171,MOR,"Miris Pasien sesak Napas butuh Penanganan cepat, petugas klinik Malah asyik maen game","miris pasien sesak napas butuh penanganan cepat, petugas klinik malah asyik maen game.","Memprihatikan, pasien sesak napas membutuhkan penanganan cepat, petugas klinik malah asyik main gim",-0.16358357667922974
172,MOR,"Bangga aku tadi tanya2 soal orga pencernaan pada tahu Diqas ga nangis,malah ketawa","bangga aku tadi tanya2 soal organisa pencernaan pada tahu digasa ga nangis, malah ketawa.","Saya bangga tadi bertanya soal organ pencernaan pada tahu. Digas tidak menangis, malah tertawa.",-0.24114346504211426
173,MOR,,ini.,Jakarta menginginkan perubahan Nazar mencoblos di Rutan Jakarta,-1.4298392534255981
174,SEM,"bisa ga yaa?(ini emas putin,T7K teruss yang recommend dengan harga bersahabat dimana yaa","bisa tidak yaa? (ini emas putin, t7k terus yang selesai dengan harga bersahabat dimana yaa.",Bisa tidak ya? (ini emas putih 17 karat) terus yang memiliki rekomendasi dengan harga bersahabat di mana ya?,-0.3194296360015869
175,SEM,"OMALBERKAH! Admin brand, UMKM,pejuang cuan...MERAPAT rop jualan kalian foto/tulisan,NO LINK Gas saling racunin & support Siapa tahu rezekinya ngalir dari sini","modalberkah! admin brand, umkm, pejuang cuan... merapat rp jualan kalian foto / tulisan, no link gas saling racunin & support siapa tahu rezekinya tidak dari sini.","Jumat berkah! Admin brand, UMKM, pejuang keuntungan. Merapat. Unggah jualan kalian (foto/tulisan, tanpa tautan) Ayo saling mempromosikan dan support! Siapa tahu rezekinya mengalir dari sini",-0.2366616427898407
176,SEM,,jangan sama-sama yang sama.,Terima kasih tidak merokok,-1.0975476503372192
177,SEM,,jangan sama-sama yang sama.,Silakan tutup air setelah membukanya Terima kasih,-1.0975476503372192
178,SEM,DILARANG MASUK PENCEROBOH AKAN DIDAKWAH,dilarang masuk penceroboh akan didakwah.,Dilarang masuk! Penyusup akan didakwa,-0.26870161294937134
179,SEM,HARAP SENANG ADA UJIAN,harap yang ada ujian.,HARAP TENANG ADA UJIAN,-0.35458841919898987
180,SEM,"JANGANANGGAPENTENG CORONA KURANGIAKTIFITASDILUARRUMAH JANGAN TAKUT GEMUK KARENA MAKAN MULU,NTAR JUGA KURUS LAG KALO MATI GA BISA HIDUP LAGI Satgas Siaga Covid-19","jangannggapenteng corona kurangiaktifitasdiluarrumah jangan takut gemuk karena makan mulu, nanti juga kurus lagi kalo mati tidak bisa hidup lagi satgas siaga covid-19.","Jangan anggap enteng corona!!! Kurangi aktivitas di luar rumah Jangan takut gemuk karena makan terus, nanti juga kurus kembali kalau mati tidak bisa hidup kembali",-0.1440814584493637
181,SEM,"Kalo di dm sering gini, tandanya dm kita di screenshot ya","kalo di dm sering gini, tandanya dengan kita di michellehot ya.","Kalau di dm sering seperti ini, tandanya dm kita discreenshot ya.",-0.3424209654331207
182,SEM,PECEL TETE,pecel tetap.,Pecel lele,-0.46717795729637146
183,SEM,ADVOKAT,advokat.,Alpukat,-0.10706116259098053
184,SEM,"bisa ga yaa?(ini emas putin,T7K teruss yang recommend dengan harga bersahabat dimana yaa","bisa tidak yaa? (ini emas putin, t7k terus yang selesai dengan harga bersahabat dimana yaa.","Bisa tidak, ya? (ini emas putih, 17K). Terus, adakah rekomendasi tempat dengan harga yang bersahabat?”",-0.3194296360015869
185,SEM,"kalaulah boleh diputarkn balik masa,banyak yang aku nk perbetul kan,byk manusia yang aku taknak kenal","kalaulah boleh diputarkan balik masa, banyak yang aku nk perbetul kan, banyak manusia yang aku taknak kenal.","Kalaulah boleh diputar ulang kembali ke masa lalu, banyak yang aku ingin perbaiki, banyak manusia yang aku tidak ingin kenal.",-0.15120425820350647
186,SEM,IT KAYUTANGITEKHNIC SERVICEHANDPHONE,it kayutangitekhnic servicehandphone.,Kayu Tangi Teknik Servis Ponsel,-0.1716793328523636
187,SEM,SELAMAT MENUNAIKAN IBADAH PUASA 1SYAWAL1432H,selamat menunaikan ibadah puasa islam1432h.,Seluruh Keluarga Besar Pengurus Ranting Banjaran Mengucapkan Selamat Hari Raya Idulfitri 1 Syawal 1431 H.,-0.24100451171398163
188,SEM,BILEK WUDUK PEREMPUAN,tidak wuduk perempuan.,Tempat wudu perempuan,-0.3228437602519989
189,SEM,Vacancy /Jawatan kosong,jawatan kosong.,Lowongan pekerjaan,-0.2716507315635681
190,SEM,Penjual gadis,penjual gadis.,Dicari Pramuniaga Wanita,-0.3707059621810913
191,SEM,Sales girl wanted,sales girl claim.,Dibutuhkan Sales Wanita,-2.1721363067626953
192,SIN,KAWASAN BERPAKAIAN SOPAN BEBAS ROKOK DAN,kawasan rokok sopan bebas berpakaian dan berpakaian.,Kawasan berpakaian sopan dan bebas rokok,-0.4102764427661896
193,SIN,SEDIA: BERMACAM-MACAM GORENGAN DAN,(baca: bermacam-macam gorengan dan,Tersedia berbagai macam gorengan,-0.2538028657436371
194,TIP,ROEMAH MOBI,yamaha mobil.,Rumah Mobil,-0.3985261023044586
195,TIP,TEMPAH Ruang Iklan ari ini,tempah ruang iklan ari ini.,Tempah Ruang Iklan Hari ini,-0.18363583087921143
196,TIP,MIEAYAM BAKD WONOGIRI RATISSEUN,imeayam bakd wonogiri rat,Mie Ayam Bakar Wonogiri,-1.0141592025756836
197,TIP,GRATIS SEUMURHIDUP YANG NAMANYA RIEIN,gratis seumurhidup yang namanya rieke.,Gratis seumur hidup yang namanya Rifin,-0.25779762864112854
198,TIP,TERSEDIA JUGA TAHU BAKSO,tersedia juga tahu bakso.,Tersedia juga Tahu Bakso,-0.14512179791927338
199,TIP,HATI MEMASUKI KAWASAN PERUMAHAN,hati memasuki kawasan perumahan.,Hati-hati Pelan-pelan Memasuki kawasan perumahan,-0.11468192934989929
200,TIP,"TOKO AL-BAROKAH Sedia Roko.Kopi,Susu.Dl","toko al-barokah sediaan roko, kopi, susu.","Toko Al-Barokah Sedia Roko, Kopi, Susu, dll.",-0.2158719152212143
