crop,category,teks_ocr,kalimat_koreksi,paddleocr_out
crops/ITIEC_ALG_QQQ_20260512_0088_1.jpg,ALG,Kami Pejuang Srikandi Ir4n akan terus menj49a perdamaian dunia. Apakah,Kami pejuang srikandi Iran akan terus menjaga perdamaian dunia. Apakah,Kami Pejuang Srikandi Ir4n akan terus menj49a perdamaian dunia.Apakah
crops/ITIEC_ALG_QQQ_20260512_0335_1.jpg,ALG,"BREAKING NEWS MAKIN PANAS! IRAN SERANG BALIK, KIRIM R#D@L KE ISRAEL","Breaking news Makin panas! Iran menyerang balik, mengirimkan rudal ke Israel",BREAKINGNEWS MAKIN PANAS! IRAN SERANG BALIK. KIRIM R#D@L KE ISRAEL
crops/ITIEC_EJA_QQQ_20260512_0496_1.jpg,EJA,MALL JOHAR PLAZA TETAP BUKA / OPERASIONAL SEPERTI BIASA ANDA MEMASUKI KAWASAN TERTIB K3 WAJIB MENGGUBAKAN ALAT PERLINDUNGAN DIRI (APD),Mall Johar Plaza tetap buka / operasional seperti biasa Anda memasuki kawasan tertib K3 Wajib menggunakan Alat Perlindungan Diri (APD),MALL JOHAR PLAZA TETAP BUKA/OPERASIONAL SEPERTI BIASA ANDA
crops/ITIEC_EJA_QQQ_20260512_0450_1.jpg,EJA,km.20,Km 20,M.20
crops/ITIEC_EJA_QQQ_20260512_0075_1.jpg,EJA,APOTIK,Apotek,<LOF-Y
crops/ITIEC_EJA_QQQ_20260512_0285_1.jpg,EJA,Yg setuju amar bebas Di sidang besok,yang setuju Ammar bebas disidang besok,Yg setuju amar bebas Di sidang besok
crops/ITIEC_EJA_QQQ_20260512_0285_2.jpg,EJA,"1 hari lagi vonis Ammar yang se7 Ammar BEBAS, atau di Rehab brikan 1 kata",1 hari lagi vonis Ammar yang setuju Ammar bebas atau direhab berikan 1 kata,"1 hari lagi vonis Ammar yangSe7 Ammar BEBAS, atau di Rehab brikan 1 kata"
crops/ITIEC_EJA_QQQ_20260512_0409_1.jpg,EJA,FERMAK LEVI'S,Permak Levi's,FERMAK LevI's
crops/ITIEC_EJA_QQQ_20260512_0509_1.jpg,EJA,VERMAK LEVI'S,Permak Levi's,VERMAK LEVI'S
crops/ITIEC_EJA_QQQ_20260512_0121_1.jpg,EJA,BAXO,Bakso,
crops/ITIEC_EJA_QQQ_20260512_0169_1.jpg,EJA,DISINI PIRCITIKIN SILIHKIN CITIK DISINI,DI SINI PERCETAKAN SILAKAN CETAK DI SINI,DISINI PIRCITIKI SILIHKIN CITIK DISINI
crops/ITIEC_EJA_QQQ_20260512_0276_1.jpg,EJA,ES DAK JELAS,Es tidak jelas,ESDAK JELAS TAPICU
crops/ITIEC_EJA_QQQ_20260512_0276_2.jpg,EJA,TAPI CUBOLAH DULU SIAPO TAU BISO JADI JELAS,Tapi cobalah dulu siapa tahu bisa jadi jelas,TAPICUBOLAH DULL SIAPOTAU BISO JADIJELAS
crops/ITIEC_EJA_QQQ_20260512_0532_1.jpg,EJA,LAYANAN BIS PARIWISATA,Layanan bus pariwisata,AYANAN BISPARIV WISATA
crops/ITIEC_EJA_QQQ_20260512_0445_1.jpg,EJA,KRIDIT,Kredit,
crops/ITIEC_EJA_QQQ_20260512_0306_1.jpg,EJA,"""Saya ingin seluruh rakyat indonesia tau Seluruh akar masalah di indonesia adalah K0rvpsi dan kemunafikan.semua politisi Saling sandera-menyandera jabatan, sedikit kali yang benar-benar Peduli rakyat."" _BASUKI TJAHAJA PURNAMA_","""Saya ingin seluruh rakyat Indonesia tahu seluruh akar masalah di Indonesia adalah korupsi dan kemunafikan. Semua politisi saling menyandera jabatan, sedikit kali yang benar-benar peduli rakyat."" _Basuki Tjahaja Purnama_","""Saya ingin seluruh rakyat indonesia tau Seluruh akar masalah di indonesia adalah KOrvpsi dan kemunafikan.semua politisi Saling sandera-meyandera jabatan, sedikit kali yang benar-benar Peduli rakyat. _BASUKI TJAHAJA PURNAMA_"
crops/ITIEC_EJA_QQQ_20260512_0111_1.jpg,EJA,AYAM UDANG SEEFOOT SPECIAL SAOS TIRAM,AYAM UDANG SEAFOOD SPECIAL SAOS TIRAM,AYAM UDANG SEEFOOT SPECIAL SAOS TIRAM
crops/Gambar 17_1.jpg,EJA,SUNGKEM WARGA THREAD AKHIRNYA BISA MENIKMATI TEAZZI TANPAH MEROGOH KOCEK,"Sungkem warga Threads, akhirnya bisa menikmati Teazzi tanpa merogoh kocek",SUNGKEM WARGATHREAD
crops/ITIEC_EJA_QQQ_20260512_0060_1.jpg,EJA,Mari Sukseskan Sea Games 2028 Jakarta Palembang Jawabarat,"Mari Sukseskan SEA Games 2028 Jakarta, Palembang, Jawa Barat",MariSuiksesk Sea Games2018 jakarta Palembang jawabarat
crops/ITIEC_EJA_QQQ_20260512_0468_1.jpg,EJA,SUMBER SURYA PHOTO COPY SEDIA: ALAT TULIS & JILID,Sumber Surya Fotokopi Sedia: Alat tulis & Jilid,SUMBER.SURYA SEIA:ALATULIS &JIID
crops/ITIEC_EJA_QQQ_20260512_0469_1.jpg,EJA,DI SEWAKAN GARASI,Disewakan garasi,DISEWAKAN GARASI
crops/ITIEC_EJA_QQQ_20260512_0165_1.jpg,EJA,SERVIC MOTOR,SERVIS MOTOR,
crops/ITIEC_EJA_QQQ_20260512_0081_1.jpg,EJA,RP.44.500,Rp44.500,RP RP.44.500
crops/ITIEC_EJA_QQQ_20260512_0081_2.jpg,EJA,RP.59.000,Rp59.000,RPSCA RP.59.000
crops/ITIEC_EJA_QQQ_20260512_0081_3.jpg,EJA,RP.55.500,Rp55.500,RP.55.500
crops/ITIEC_EJA_QQQ_20260512_0081_4.jpg,EJA,RP.49.500,Rp49.500,[Re RP.49.500
crops/Gambar 16_1.jpg,EJA,"MBAAK, AKU SETUJU BANGET Pantesan dijuluki minyak dewa, sekarang udah jadi andalan remaja jompo tiap badan mulai ga enak. Tinggal oles langsung plooong","Mbak, aku setuju sekali Pantas dijuluki minyak dewa, sekarang sudah jadi andalan remaja jompo setiap badan mulai tidak enak. Tinggal oles langsung plong","MBAAK.AKUSETUJUBANGET Pantesan dijuluki minyak dewa,sekarang udah jadi andalan remaja jompo tiap badan mulai ga enak.Tinggal oles langsung plooong  1/2"
crops/ITIEC_EJA_QQQ_20260512_0517_1.jpg,EJA,LEGITNYA RAME-RAMEI,Legitnya ramai-ramai,LEOITNYA AME
crops/ITIEC_EJA_QQQ_20260512_0463_1.jpg,EJA,PERHATIAN TOLONG JANGAN LETAKKAN KENDERAAN ANDA DI HADAPAN PUMP ANGIN. TERIMA KASIH,Perhatian! Tolong jangan letakkan kendaraan Anda di hadapan pompa angin. Terima kasih,PERHATIAN TOLONG JANGAN LETAKKAN KENDERAAN ANDA DI HADAPAN PUMP ANGIN. TERIMA KASIN
crops/ITIEC_EJA_QQQ_20260512_0398_2.jpg,EJA,MEI GORENG,MI GORENG,MEL-DOBENG
crops/ITIEC_EJA_QQQ_20260512_0398_3.jpg,EJA,KTIUW GORENG,KWETIAU GORENG,KTIUW-GORENG
crops/ITIEC_EJA_QQQ_20260512_0022.jpeg_1.png,EJA,LOPSTER GORENG MENTEGA,Lobster goreng mentega,
crops/ITIEC_EJA_QQQ_20260512_0403_1.jpg,EJA,NASY GORENG & MYE,Nasi goreng dan mi,NASY GORENG &MYE.
crops/ITIEC_EJA_QQQ_20260512_0491_1.jpg,EJA,JUAL PULZA ELEKTRIK,Jual pulsa elektrik,JUAL PULZAELEKTRIK
crops/ITIEC_EJA_QQQ_20260512_0489_1.jpg,EJA,TEMPAT WUDLU,Tempat wudu,WUBAU
crops/ITIEC_EJA_QQQ_20260512_0035_1.jpg,EJA,FOTO COPY,Fotokopi,
crops/ITIEC_EJA_QQQ_20260512_0035_2.jpg,EJA,LAMINATING,Laminasi,LAMINATING
crops/ITIEC_EJA_QQQ_20260512_0035_3.jpg,EJA,JILID HAR CAVER,Jilid Hard Cover,JILID HAR CAVER
crops/ITIEC_EJA_QQQ_20260512_0190_1.jpg,EJA,JALAN INI DI PANTOW SISITIPI,Jalan ini dipantau CCTV,JALAN IN DIPANTOW SISITIPI
crops/ITIEC_EJA_QQQ_20260512_0449_1.jpg,EJA,DILUAR,Di luar,DILUAR
crops/Gambar 73_1.jpg,EJA,Aku ga tau apakah ini mukjizat atau memang jalan Tuhan bentunya banyak.,Saya tidak tahu apakah ini mukjizat atau memang jalan Tuhan bentunya banyak.,Aku ga tau apakah ini mukjizat atau memang jalan Tuhan bentuknva banvak
crops/Gambar 42_1.jpg,EJA,Ada rumah 2 lantai di Jogja harganya ga masuk akal cm 465 juta! Legalitas SHM dan siap akad dan balik nama.,Ada rumah 2 lantai di Jogja harganya tidak masuk akal hanya 465 juta! Legalitas SHM dan siap akad dan balik nama.,Ada rumah 2 lantai di Jogja harganya ga masuk akal cm465 jutaLegalitas SHM dan siap akad dan balik nama
crops/ITIEC_EJA_QQQ_20260512_0090_1.jpg,EJA,KRIPIK,Keripik,
crops/ITIEC_EJA_QQQ_20260512_0484_1.jpg,EJA,"SOTO DAGING SAPI KARE GORENGAN KOMPLET MINUMAN KOMPLIT ""Bu Bingan""","Soto Daging Sapi Kare Gorengan Komplet Minuman Komplet ""Bu Bingan""",SOTO DAGING SAPI KARE GORENGAN KOMPLET MINUMANKOMPLIT BuBinaan
crops/ITIEC_EJA_QQQ_20260512_0151.jpeg_1.png,EJA,DILARANG PARKIR DISINI,DILARANG PARKIR DI SINI,
crops/ITIEC_EJA_QQQ_20260512_0472_1.jpg,EJA,TALIFON PENTING,Telepon penting,TALIFON PENTING
crops/ITIEC_EJA_QQQ_20260512_0472_2.jpg,EJA,BALAI POLIS,Kantor polisi,BALAIPOLIS
crops/ITIEC_EJA_QQQ_20260512_0472_3.jpg,EJA,BOMBA,Pemadam kebakaran,BOMBA
crops/ITIEC_EJA_QQQ_20260512_0472_4.jpg,EJA,BILIK GERAKAN,Bilik gerakan,BILIK GERAKAN
crops/ITIEC_EJA_QQQ_20260512_0472_5.jpg,EJA,KERETA PERONDA,Mobil patroli,KERETA.PERONDA
crops/ITIEC_EJA_QQQ_20260512_0474.webp_1.png,EJA,KARYA AGUNG TEHNIK,Karya Agung Teknik,
crops/ITIEC_EJA_QQQ_20260512_0018_1.jpg,EJA,NASY GORENG & MYE,Nasi goreng & mi,NASY GORENG &MYE
crops/ITIEC_EJA_QQQ_20260512_0026_1.jpg,EJA,JUM'AT KHUSYU',Jumat khusyuk,
crops/ITIEC_EJA_QQQ_20260512_0147_1.jpg,EJA,APOTIK,Apotek,APOTIK
crops/ITIEC_EJA_QQQ_20260512_0232_1.jpg,EJA,MEI REBUS,Mi rebus,MEI-REBUS
crops/ITIEC_EJA_QQQ_20260512_0232_2.jpg,EJA,MEI GORENG,Mi goreng,MEI-GORENG
crops/ITIEC_EJA_QQQ_20260512_0232_3.jpg,EJA,KTIUW GORENG,Kwetiau goreng,KTIOW-GORENG
crops/ITIEC_EJA_QQQ_20260512_0456_1.jpg,EJA,Kedai Handphone,Toko Handphone,Kedai Handphone OTheOne TEn
crops/ITIEC_EJA_QQQ_20260512_0456_2.jpg,EJA,30 minit,30 menit,
crops/ITIEC_EJA_QQQ_20260512_0498_1.jpg,EJA,BERSAMAKITABERKURNBAN UNTUKMENINGKATKAN KESADARNBERBAGI,Bersama Kita Berkurban Untuk meningkatkan kesadaran berbagi,BERSAMAKITABERKURA UNTUKMENINGKATKAN KESADARNBERBAG
crops/ITIEC_EJA_QQQ_20260512_0073_1.jpg,EJA,MUSHOLA,MUSALA,MUSHOLA
crops/ITIEC_EJA_QQQ_20260512_0416_1.jpg,EJA,MIE AYAM BASO,Mi ayam bakso,MIEAYAMBASO
crops/ITIEC_EJA_QQQ_20260512_0490_1.jpg,EJA,Berkwalitas,Berkualitas,Berlkwalltas
crops/ITIEC_EJA_QQQ_20260512_0380_1.jpg,EJA,"KISAH KOMPOL YUNI ""86"": Dulu garang Berantas Narkoboy Kini malah Ketangkap pakai Sabv Bersama 11 anggota polisi lain","Kisah Kompol Yuni ""86"": Dulu garang berantas narkoba, kini malah ketangkap pakai sabu bersama 11 anggota polisi lain","KISAH KOMPOL YUNI 86"": Dulu garang Berantas Narkoboy Kini malah Ketangkap pakai Sabv Bersama 11 anggota polisi lain"
crops/ITIEC_EJA_QQQ_20260512_0528_1.jpg,EJA,JILIT,Jilid,
crops/ITIEC_EJA_QQQ_20260512_0528_2.jpg,EJA,VULSA,Pulsa,VULSA
crops/ITIEC_EJA_QQQ_20260512_0503_1.jpg,EJA,PEMERINTAH KOTA PALANGKA RAYA DIALARANG BERJUALAN DI BADAN JALAN,Pemerintah Kota Palangka Raya Dilarang berjualan di badan jalan,JERINIA DIALARANG BERJUALAN PIBADAN JALAN
crops/ITIEC_EJA_QQQ_20260512_0058_1.jpg,EJA,GITA LAUNDRY Melayani: Cuci Satuan Cuci Kiloan Seterika,GITA LAUNDRY Melayani: Cuci satuan Cuci kiloan Setrika,GITA LAUNDRY Melayanis Cuci Satuan Cuci Kiloan WSeterika
crops/ITIEC_EJA_QQQ_20260512_0473_1.jpg,EJA,MUSHOLA,Musala,MUSHOLA
crops/ITIEC_EJA_QQQ_20260512_0013_1.jpg,EJA,PRAKTEK DOKTER GIGI drg. Suci Mandiyasari BUKA HARI SENIN-JUMAT JAM 16.00-20.00 WIB HARI SABTU-MINGGU JAM 13.30-17.30 WIB,PRAKTIK DOKTER GIGI drg. Suci Mandiyasari Buka Hari Senin - Jumat Jam 16.00 - 20.00 WIB Hari Sabtu - Minggu Jam 13.30 - 17.30 WIB,PRAKTEKDOKTER GIG drg.Suci Mandiyasari BUKAMARI SENIN-JUMAT JAM16.0020.00W HARISABTU-MINGGU
crops/ITIEC_EJA_QQQ_20260512_0222_1.jpg,EJA,Wanita ini Melec*kan Diri Sendiri Usai Ketahuan Mencuri di Toko,Wanita ini melecehkan diri sendiri usai ketahuan mencuri di toko,Wanita ini Melec*kan Diri. Sendiri Usai Ketahuan Mencuri di Toko
crops/ITIEC_EJA_QQQ_20260512_0465.webp_1.png,EJA,WARONG MEMBERS,WARUNG MEMBERS,
crops/ITIEC_EJA_QQQ_20260512_0296_1.jpg,EJA,Srenigkali ktia mraba pseaaran onarg lian hnaya utnuk mmeastikan bwhaa ktia tdiak snedirian dlaam pnedertiaan ini.,Sering kali kita meraba perasaan orang lain hanya untuk memastikan bahwa kita tidak sendirian dalam penderitaan ini.,Srenigkali ktia mraba pseaaran onarg lian hnaya utnuk mmeastikan bwhaa ktia tdiak snedirian dlaam pnedertiaan ini.
crops/ITIEC_EJA_QQQ_20260512_0525_1.jpg,EJA,Jaoh dekat,Jauh dekat,Jaoh dekat
crops/ITIEC_EJA_QQQ_20260512_0525_2.jpg,EJA,PAKE HELEM,Pakai helm,PAKE HELEM
crops/ITIEC_EJA_QQQ_20260512_0020_1.jpg,EJA,Sedia AYAM PECEL TETE NASI UDUK Trima Pesanan,Sedia Ayam Pecel Lele Nasi Uduk Terima Pesanan,Sedia AVAM PECELTETE NASI UDUK Trima Pesanan
crops/Gambar 77_1.jpg,EJA,Sialan bgt beras 5kg dari 74.500 ke 98.000 menurut gue sinting.,Lonjakan harga beras kemasan 5kg dari Rp74.500 ke Rp98.000 menurut saya sangat tidak masuk akal.,Sialan bgt beras 5kg dari 74.500 ke 98.000 menurut gue sinting
crops/ITIEC_EJA_QQQ_20260512_0478_1.jpg,EJA,Tunggu dirumah,Tunggu di rumah,Tunggu dirwaal
crops/ITIEC_MIX_QQQ_20260512_0160_1.jpg,MIX,500jt h4ga k0in n4ik p4gi ini,Pagi ini harga koin naik menjadi 500 juta rupiah.,500jt h4ga k0in n4ik p4gi ini
crops/Gambar 80_1.jpg,MOR,pembagian qurban tahun ini aku dapet kepala kambing. padahal aku kan pengennya dapet kepala rumah tangga.,Pembagian kurban tahun ini saya mendapatkan kepala kambing. Padahal saya kan inginnya mendapatkan kepala rumah tangga.,pembagian qurban tahun ini aku dapet kepala kambing.padaha aku kan pengennya dapet kepala rumah tangga
crops/ITIEC_MOR_QQQ_20260512_0174_1.jpg,MOR,DILARANG MENGUNA PHONE TANGANG NO HANDPHONE,DILARANG MENGGUNAKAN TELEPON GENGGAM NO HANDPHONE,DILARANG MENGUNA PHONE TANGANG NO HANDPHONE
crops/Gambar 77_1.jpg,MOR,Sialan bgt beras 5kg dari 74.500 ke 98.000 menurut gue sinting.,Kenaikan harga beras menjadimasan 5 kg dari Rp74.500 menjadi Rp98.000 menurut saya tidak masuk akal.,Sialan bgt beras 5kg dari 74.500 ke 98.000 menurut gue sinting
crops/Gambar 55_1.jpg,MOR,pusing di awal dong pas ngerintis pas udah jalan mah enak tinggal uncang uncang kaki sambil di liatin,"Pusing di awal saat merintis. Kalau sudah berjalan, enak tinggal uncang-uncang kaki sambil dilihat orang.",pusing di awal dong pas ngerintis pas udah jalan mah enak tinggal uncang uncang kaki sambil di liatin
crops/ITIEC_MOR_QQQ_20260512_0012_1.jpg,MOR,pria ini bs melihat kberadaan org hilng dari megang foto sja,Pria ini bisa melihat keberadaan orang hilang dari memegang foto saja,pria ini bs melihat kberadaan org hilng dari megang foto sja
crops/ITIEC_MOR_QQQ_20260512_0143_1.jpg,MOR,DI LARANG BUWANG SAMPAH DI SINI,DILARANG MEMBUANG SAMPAH DI SINI,DILARANE BUWANG SAMPARDI SINI
crops/Gambar 45_1.jpg,MOR,6 NASIHAT MENOHOK DR. TIRTA UNTUK UMUR 20-AN (BIAR GAK NYESEL PAS KEPALA 3),6 Nasihat menohok dr. Tirta untuk umur 20-an (agar tidak menyesal tepat kepala 3),6NASIHAT MENOHOKDR.TIRTA UNTUK UMUR 20-AN (BIAR GAKNYESELPASKEPALA3)
crops/Gambar 76_1.jpg,MOR,"Lowbat banget ini seharian kumpul keluarga, tapi bayi masih seger.","Saya merasa sangat lelah setelah seharian berkumpul bersama keluarga, tetapi bayi masih segar.",seger e
crops/ITIEC_MOR_QQQ_20260512_0515_1.jpg,MOR,BASO TAHU CUANKI HAMPIR BUKA CABANG DI TEMPAT LAIN!,Bakso Tahu Cuanki Akan segera membuka cabang di tempat lain!,BASO TAHU CUANKI HAMPIR BUKA CABANG OITEMPATLAIN
crops/ITIEC_MOR_QQQ_20260512_0140_1.jpg,MOR,HELM ANDA MOHON DI KUNCI HILANG DILUAR TANGGUNG JAWAB KAMI,Helm Anda Mohon Dikunci. Hilang di Luar Tanggung Jawab Kami.,HELM ANDA MOHONDIKUNC HILANG DILUAR.TANGGUNG JAWAB KAMI
crops/Gambar 71_1.jpg,MOR,"Lo kira mereka baik-baik aja karena sibuk terus, padahal mereka cuma lari dari perasaan.","Kamu mengira mereka baik-baik saja karena sibuk terus, padahal mereka hanya lari dari perasaan.","5.Lo kira mereka baik-baik aja karena sibuk terus,padahal mereka cuma lari dari perasaan.3/6"
crops/Gambar 75_1.jpg,MOR,"Bangga aku tadi tanya2 soal orga pencernaan pada tahu. Digas ga nangis, malah ketawa.","Saya bangga tadi bertanya soal organ pencernaan pada tahu. Digas tidak menangis, malah tertawa.","Bangga aku tadi tanya2 soal orga pencernaan pada tahu Diqas ga nangis,malah ketawa"
crops/Gambar 29_1.jpg,MOR,"Btw, kenapa orang kalo lagi jatuh cinta dibilang ""butterlfly era""? Kenapa engga belalang era? Kan sama sama ada sayapnya","Ngomong-ngomong, kenapa orang kalau lagi jatuh cinta disebut ""butterlfly era""? Kenapa tidak ""belalang era""? Kan sama-sama ada sayapnya","Btw,kenapa orang kalo lagi jatuncl Kenapa engga belalang era?Kan sama sama ada sayapnya "
crops/Gambar 08_1.jpg,MOR,"Tumblr baru di Superindo bisa jadi tripod lucuuu bangettttt, tapi kemarin buru buru dan gak ada harganyaaa ada yang tau harganya? kepikiran sampe kebawa mimpi wkwk","Tumbler baru di Superindo bisa jadi tripod lucu sekali, tapi kemarin buru-buru dan tidak ada harganya. Ada yang tahu harganya? kepikiran sampai terbawa mimpi wkwk","Tumblr baru di Superindo bisa jadi tripod lucuuu bangettttt, tapi kemarin buru buru dan gak ada harganyaaa  ada yang tau harganya? kepikiran sampe kebawa mimpi wkwk"
crops/Gambar 68_1.jpg,MOR,"Tiba tiba mikir Kok rezeki gacor banget, oh ternyata karna happy terusssss Happy bener bener jadi magnet rezeki banget banget","Tiba-tiba berpikir, mengapa rezeki mengalir sangat lancar? Ternyata karena saya selalu bahagia. Kebahagiaan benar-benar menjadi magnet rezeki yang luar biasa.","Kok rezekigacorbanget,on ternyata karna happy terusssss Happy bener bener jadi magnet rezeki banget banget"
crops/Gambar 63_1.jpg,MOR,"seporsi kemenangan: gapunya pacar, gapunya crush samsek, gada fav ex, gada yang di harapin, gada yg ditungguin, gada masa lalu, gada orang baru, ga naksir siapa-siapa, gada perasaan ke siapa-siapa.","Seporsi kemenangan: tidak memiliki pacar, tidak memiliki crush sama sekali, tidak ada fav ex, tidak ada yang diharapkan, tidak ada yang ditunggu, tidak ada masa lalu, tidak ada orang baru, tidak menaksir siapa-siapa, tidak ada perasaan ke siapa-siapa.","seporsi kemenangan gapunya pacar, gapunya crush samsek,gada fav ex gada yang di harapin, gada yg ditungguin gada masa lalu, gada orang baru ga naksir siapa-siapa, gada perasaan ke siapa-siapa"
crops/Gambar 41_1.jpg,MOR,"Baru juga buka mata dan intip HP bentar, Digimap udah gak ada akhlak ngasih flash sale iPhone 17PM","Baru juga membuka mata dan intip HP sebentar, Digimap sudah tidak ada akhlak memberi flash sale iPhone 17PM","Baru juga buka mata dan intip HPbentar, Digimap udah gak ada akhlak ngasih flash sale iPhone 17PM "
crops/Gambar 39_1.jpg,MOR,"Baru juga buka mata dan intip HP bentar, Digimap udah gak ada akhlak ngasih flash sale iPhone 17PM Sungkem paling hormat pokoknya sama Digimap hari ini.","Baru juga membuka mata dan intip HP sebentar, Digimap sudah tidak ada akhlak memberi flash sale iPhone 17PM Sungkem paling hormat pokoknya sama Digimap hari ini.",IILa Diginnapuaairgak akhlak ngasih flash sale iPhone 17PM  Sungkem.paling hormat pokoknva sama Digimap.hariini
crops/ITIEC_MOR_QQQ_20260512_0217.jpeg_1.png,MOR,CELEP LEVIS KATUN KADUROY,Celana Levi's katun korduroi,
crops/Gambar 07_1.jpg,MOR,pasangan maut dikehidupan dewasa tuh ya cuma kalkulator sama kalender,Pasangan maut di kehidupan dewasa itu ya hanya kalkulator dan kalender,pasangan maut dikehidupan dewasa tuh ya cuman kalkulator sama kalender
crops/ITIEC_MOR_QQQ_20260512_0078_1.jpg,MOR,"Miris Pasien sesak Napas butuh Penanganan cepat, petugas klinik Malah asyik maen game","Memprihatikan, pasien sesak napas membutuhkan penanganan cepat, petugas klinik malah asyik main gim","Miris Pasien sesak Napas butuh Penanganan cepat, petugas klinik Malah asyik maen game"
crops/Gambar 03_1.jpg,MOR,"Bangga aku tadi tanya2 soal orga pencernaan pada tahu. Digas ga nangis, malah ketawa.","Saya bangga tadi bertanya soal organ pencernaan pada tahu. Digas tidak menangis, malah tertawa.","Bangga aku tadi tanya2 soal orga pencernaan pada tahu Diqas ga nangis,malah ketawa"
crops/ITIEC_MOR_QQQ_20260512_0508.jpeg_1.png,MOR,JAKARTA INGINKAN PERUBAHAN NAZAR NYOBLOS DI RUTAN JAKARTA,Jakarta menginginkan perubahan Nazar mencoblos di Rutan Jakarta,
crops/Gambar 30_1.jpg,SEM,"bisa ga yaa? (ini emas putih, 17k) teruss yang recommend dengan harga bersahabat dimana yaa",Bisa tidak ya? (ini emas putih 17 karat) terus yang memiliki rekomendasi dengan harga bersahabat di mana ya?,"bisa ga yaa?(ini emas putin,T7K teruss yang recommend dengan harga bersahabat dimana yaa"
crops/Gambar 14_1.jpg,SEM,"JUMAT BERKAH!! Admin brand, UMKM, pejuang cuan... MERAPAT. Drop jualan kalian (foto/tulisan, NO LINK) Gas saling racunin & support! Siapa tahu rezekinya ngalir dari sini","Jumat berkah! Admin brand, UMKM, pejuang keuntungan. Merapat. Unggah jualan kalian (foto/tulisan, tanpa tautan) Ayo saling mempromosikan dan support! Siapa tahu rezekinya mengalir dari sini","OMALBERKAH! Admin brand, UMKM,pejuang cuan...MERAPAT rop jualan kalian foto/tulisan,NO LINK Gas saling racunin & support Siapa tahu rezekinya ngalir dari sini "
crops/ITIEC_SEM_QQQ_20260512_0215.jpeg_1.png,SEM,TERIMA KASIH TIDAK BERHENTI MEROKOK,Terima kasih tidak merokok,
crops/ITIEC_SEM_QQQ_20260512_0458.webp_1.png,SEM,SILA TUTUP AIR SELEPAS MENGBUKANYA TERIMA KASIH,Silakan tutup air setelah membukanya Terima kasih,
crops/ITIEC_SEM_QQQ_20260512_0425_1.jpg,SEM,DI LARANG MASUK PENCEROBOH AKAN DI DAKWAH,Dilarang masuk! Penyusup akan didakwa,DILARANG MASUK PENCEROBOH AKAN DIDAKWAH
crops/ITIEC_SEM_QQQ_20260512_0100_1.jpg,SEM,HARAP SENANG ADA UJIAN,HARAP TENANG ADA UJIAN,HARAP SENANG ADA UJIAN
crops/ITIEC_SEM_QQQ_20260512_0436_1.jpg,SEM,"JANGAN ANGGAP ENTENG CORONA!!! KURANGI AKTIFITAS DI LUAR RUMAH JANGAN TAKUT GEMUK KARENA MAKAN MULU, NTAR JUGA KURUS LAGI KALO MATI GA BISA HIDUP LAGI","Jangan anggap enteng corona!!! Kurangi aktivitas di luar rumah Jangan takut gemuk karena makan terus, nanti juga kurus kembali kalau mati tidak bisa hidup kembali","JANGANANGGAPENTENG CORONA KURANGIAKTIFITASDILUARRUMAH JANGAN TAKUT GEMUK KARENA MAKAN MULU,NTAR JUGA KURUS LAG KALO MATI GA BISA HIDUP LAGI Satgas Siaga Covid-19"
crops/Gambar 05_1.jpg,SEM,"Kalo di dm sering gini, tandanya dm kita di screenshot ya.","Kalau di dm sering seperti ini, tandanya dm kita discreenshot ya.","Kalo di dm sering gini, tandanya dm kita di screenshot ya"
crops/ITIEC_SEM_QQQ_20260512_0521_1.jpg,SEM,PECEL TETE,Pecel lele,PECEL TETE
crops/ITIEC_SEM_QQQ_20260512_0211_1.jpg,SEM,ADVOKAT,Alpukat,ADVOKAT
crops/Gambar 30_1.jpg,SEM,"bisa ga yaa? (ini emas putih, 17K) teruss yang recommend dengan harga bersahabat dimana yaa","Bisa tidak, ya? (ini emas putih, 17K). Terus, adakah rekomendasi tempat dengan harga yang bersahabat?”","bisa ga yaa?(ini emas putin,T7K teruss yang recommend dengan harga bersahabat dimana yaa"
crops/Gambar 11_1.jpg,SEM,"Kalaulah boleh diputarkn balik masa , banyak yang aku nk perbetul kan , byk manusia yang aku taknak kenal.","Kalaulah boleh diputar ulang kembali ke masa lalu, banyak yang aku ingin perbaiki, banyak manusia yang aku tidak ingin kenal.","kalaulah boleh diputarkn balik masa,banyak yang aku nk perbetul kan,byk manusia yang aku taknak kenal"
crops/ITIEC_SEM_QQQ_20260512_0412_1.jpg,SEM,KAYU TANGI TEKHNIC SERVICE HANDPHONE,Kayu Tangi Teknik Servis Ponsel,IT KAYUTANGITEKHNIC SERVICEHANDPHONE
crops/ITIEC_SEM_QQQ_20260512_0108_1.jpg,SEM,SELURUH KELUARGA BESAR PENGURUS RANTING BANJARAN MENGUCAPKAN ‘SELAMAT MENUNAIKAN IBADAH PUASA’ 1 SYAWAL 1431 H TANGERANG SELATAN,Seluruh Keluarga Besar Pengurus Ranting Banjaran Mengucapkan Selamat Hari Raya Idulfitri 1 Syawal 1431 H.,SELAMAT MENUNAIKAN IBADAH PUASA 1SYAWAL1432H
crops/ITIEC_SEM_QQQ_20260512_0464_1.jpg,SEM,BILEK WUDUK PEREMPUAN,Tempat wudu perempuan,BILEK WUDUK PEREMPUAN
crops/ITIEC_SEM_QQQ_20260512_0176_1.jpg,SEM,Vacancy/Jawatan koosong,Lowongan pekerjaan,Vacancy /Jawatan kosong
